ID,MISSION_ID,MISSION_NAME,PARENT_SITE_ID,DISPLAY_NAME,VEHICLE_NAME,KIND,SOURCE_KIND,STATUS,LATITUDE_DEGREES,LONGITUDE_EAST_DEGREES,COORDINATE_UNCERTAINTY_M,RADIAL_DISTANCE_M,ARRIVAL_DATE,LOCATION_QUALITY,COORDINATE_SOURCE,RADIUS_SOURCE,COSPAR_ID,GCAT_ID,OWNER,COUNTRY,REFERENCES,DISPLAY_RANK,SITE_REPRESENTATIVE,CREWED_MISSION
ladee-ladee,ladee,LADEE,ladee-site-01,LADEE,LADEE (Lunar Atmosphere and Dust Environment Explorer),impact_site,Spacecraft impact site,impacted,11.8493,-93.2493,6.7,1740202.6,2014-04-18,confirmed,Averaged NACs,NAC DTM,2013-047A,D00926,ARC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/822 | https://planet4589.org/space/gcat/root.html,5,1,0
chang-e-4-chang-e-4,chang-e-4,Chang'e 4,chang-e-4-site-01,Chang'e 4,Chang'E-4,lander,Lander,landed,-45.4562,177.5886,10,1731471.82,2019-01-03,confirmed,NAC DTM,NAC DTM,2018-103A,D01017,CASC,CN,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1087; https://lroc.im-ldi.com/images/1092 | https://planet4589.org/space/gcat/root.html,0,1,0
beresheet-beresheet,beresheet,Beresheet,beresheet-site-01,Beresheet,Beresheet,impact_site,Spacecraft impact site,impacted,32.5953,19.3495,10,1734783.83,2019-04-11,confirmed,NAC DTM,NAC DTM,2019-009B,D01020,SPAIL,IL,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1101 | https://planet4589.org/space/gcat/root.html,5,1,0
longjiang-2-longjiang-2,longjiang-2,Longjiang-2,longjiang-2-site-01,Longjiang-2,,impact_site,Spacecraft impact site,impacted,16.6956,159.517,7.1,1735916.247,2019-07-30,confirmed,Averaged NACs,NAC DTM,2018-045C,D01007,CASC,CN,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://destevez.net/2019/08/trying-to-find-the-dslwp-b-crash-site/; https://lroc.im-ldi.com/images/1132 | https://planet4589.org/space/gcat/root.html,5,1,0
chandrayaan-2-vikram-1,chandrayaan-2,Chandrayaan-2,chandrayaan-2-site-01,Vikram 1,Vikram,impact_site,Spacecraft impact site,impacted,-70.8811,22.7834,9.1,1738234.4,2019-09-06,confirmed,Averaged NACs,NAC DTM,2019-042,D00185,ISRO,IN,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1131 | https://planet4589.org/space/gcat/root.html,5,1,0
chang-e-5-chang-e-5,chang-e-5,Chang'e 5,chang-e-5-site-01,Chang'e 5,Chang'E-5,lander,Lander,landed,43.0576,-51.9161,10,1734860.836,2020-12-01,confirmed,NAC DTM,NAC DTM,2020-087,D01047,LDSE,CN,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1172 | https://planet4589.org/space/gcat/root.html,0,1,0
chang-e-5-t1-chang-e-5-t1-booster,chang-e-5-t1,Chang'e 5 T1,chang-e-5-t1-site-01,Chang'e 5 T1 Booster,,rocket_stage,Booster impact site,impacted,5.2269,-125.5152,10,1739233.4,2022-03-04,confirmed,NAC DTM,NAC DTM,2014-065B,D00942,CASC,CN,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://projectpluto.com/temp/dscovr.htm; https://lroc.im-ldi.com/images/1261 | https://planet4589.org/space/gcat/root.html,6,1,0
hakuto-r-mission-1-hakuto-r-1,hakuto-r-mission-1,HAKUTO-R Mission 1,hakuto-r-mission-1-site-01,Hakuto-R 1,HAKUTO-R,impact_site,Spacecraft impact site,impacted,47.58,44.0938,10,1734489.655,2023-04-25,confirmed,NAC DTM,NAC DTM,2022-168A,D01116,ISPACE,J,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1302 | https://planet4589.org/space/gcat/root.html,5,1,0
luna-25-luna-25,luna-25,Luna 25,luna-25-site-01,Luna 25,Luna-25,impact_site,Spacecraft impact site,impacted,-57.8651,61.3588,18.5,1737057.6,2023-08-19,confirmed,Averaged NACs,SLDEM,2023-118A,D01128,IKI,RU,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1311 | https://planet4589.org/space/gcat/root.html,5,1,0
chandrayaan-3-vikram-2,chandrayaan-3,Chandrayaan-3,chandrayaan-3-site-01,Vikram 2,Vikram,lander,Lander,landed,-69.374,32.3187,10,1737932.281,2023-08-23,confirmed,NAC DTM,NAC DTM,2023-098A,D01126,ISRO,IN,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1314 | https://planet4589.org/space/gcat/root.html,0,1,0
slim-slim,slim,SLIM,slim-site-01,SLIM,SLIM (Smart Lander for Investigating Moon),lander,Lander,landed,-13.316,25.251,10,1736487.3,2024-01-19,confirmed,NAC DTM,NAC DTM,2023-137D,D01131,JAXA,J,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1358 | https://planet4589.org/space/gcat/root.html,0,1,0
im-1-im-1,im-1,IM-1,im-1-site-01,IM-1,Odysseus,lander,Lander,landed,-80.1276,1.4367,10,1739980.4,2024-02-22,confirmed,NAC DTM,NAC DTM,2024-030A,D01149,INTMA,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1360 | https://planet4589.org/space/gcat/root.html,0,1,0
chang-e-6-chang-e-6,chang-e-6,Chang'e 6,chang-e-6-site-01,Chang'e 6,Chang'E-6,lander,Lander,landed,-41.6383,-153.9857,10,1732147.62,2024-06-01,confirmed,NAC DTM,NAC DTM,2024-083,D01159,LDSE,CN,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1374 | https://planet4589.org/space/gcat/root.html,0,1,0
blue-ghost-mission-1-blue-ghost-1,blue-ghost-mission-1,Blue Ghost Mission 1,blue-ghost-mission-1-site-01,Blue Ghost 1,Blue Ghost,retroreflector,Retroreflector: Blue Ghost lander,deployed,18.5622,61.8102,10,1733750,2025-03-02,confirmed,NAC DTM,NAC DTM,2025-010A,D01178,FFLY,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1407 | https://planet4589.org/space/gcat/root.html,3,1,0
im-2-im-2,im-2,IM-2,im-2-site-01,IM-2,Athena,lander,Lander,landed,-84.7906,29.19567,5,1742721.38,2025-03-06,confirmed,NAC DTM,NAC DTM,2025-038A,D01180,INTMA,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1409 | https://planet4589.org/space/gcat/root.html,0,1,0
hakuto-r-mission-2-hakuto-r-2,hakuto-r-mission-2,HAKUTO-R Mission 2,hakuto-r-mission-2-site-01,Hakuto-R 2,RESILIENCE,impact_site,Spacecraft impact site,impacted,60.4445,-4.588,10,1734968.4,2025-06-05,confirmed,NAC DTM,NAC DTM,2025-010B,D01176,ISPACE,J,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://lroc.im-ldi.com/images/1456 | https://planet4589.org/space/gcat/root.html,5,1,0
